trial,environment_seed,sensor_seed,sensor_scenario,sensor_model,free_probability,occupied_probability,disallowed_probability,restricted_probability,planning_success,onboard_completion,true_goal_reached,true_mission_success,termination_state,final_true_distance,completion_time,actual_path_length,planned_path_length,mean_estimation_error,max_estimation_error,rmse_estimation_error,mean_true_cross_track_error,max_true_cross_track_error,rmse_true_cross_track_error,mean_estimated_cross_track_error,max_estimated_cross_track_error,rmse_estimated_cross_track_error,minimum_true_clearance,minimum_estimated_clearance,commanded_control_effort,applied_control_effort,control_saturation_fraction,mean_control_saturation_error,max_control_saturation_error,max_commanded_acceleration,max_applied_acceleration,measurement_dropout_fraction,true_free_time,true_occupied_time,true_disallowed_time,true_restricted_time,true_out_of_bounds_time,estimated_free_time,estimated_occupied_time,estimated_disallowed_time,estimated_restricted_time,estimated_out_of_bounds_time,restricted_violation,disallowed_violation,out_of_bounds_violation
28,2671864052,1579004851,0,GaussianSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.22190007722371638,68.8,13.987869531793375,14.11244795448223,0.05132328518641112,0.16948369484162876,0.05788197545851766,0.028886571346464843,0.08105912087320814,0.03431065888740162,0.04113090512226257,0.16786892664624417,0.050510870304504324,0.10036183726194506,0.049025599129234126,5.359737398932049,5.359737398932049,0.0,8.362265516350743e-17,2.779024842816778e-16,0.2391870814186507,0.23918708141865067,0.0,67.0,1.7999999999999972,0.0,0.0,0.0,67.19999999999999,1.6000000000000014,0.0,0.0,0.0,False,False,False
29,3674706989,3306811554,0,GaussianSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.20447997823908784,80.0,15.90083291104644,15.994182328996438,0.04852153056243125,0.14536918839217397,0.0549878896877082,0.03127905373878507,0.12689259019381502,0.040327753360999676,0.04385038401786742,0.16380480496887562,0.05496425790162388,0.14845295972985725,0.08881611065972127,6.342035813308112,6.342035813308112,0.0,7.806547817854857e-17,2.779024842816778e-16,0.24723653655160088,0.247236536551601,0.0,79.1,0.8999999999999986,0.0,0.0,0.0,78.89999999999999,1.1000000000000014,0.0,0.0,0.0,False,False,False
30,3431604673,467454945,0,GaussianSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.17231139544792587,66.0,12.86896042197139,13.043996208433523,0.050748478314481836,0.15343754402028978,0.0570986336629876,0.029872718838334363,0.0766223191279436,0.037322408190384196,0.04034826076090443,0.18968289283498807,0.050982091806447166,0.5177566412060872,0.40124430429954455,5.179607047926805,5.179607047926805,0.0,8.72197084766142e-17,1.8670653977139892e-16,0.2787897930179183,0.2787897930179183,0.0,66.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,False,False,False
31,2772736690,475943986,0,GaussianSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.2790141745374156,87.7,16.06436583366219,16.50339424103933,0.05005623487585629,0.1388004556831957,0.05662821505205581,0.03766605198229401,0.09252784115356584,0.04388054105692016,0.044075737029427686,0.1460208524331637,0.05409635478526871,0.1350734963314569,0.10728988713086698,6.716481610827041,6.716481610827042,0.0,7.89084178320863e-17,2.779024842816778e-16,0.2800414930027075,0.2800414930027074,0.0,77.3,10.400000000000006,0.0,0.0,0.0,77.2,10.5,0.0,0.0,0.0,False,False,False
32,34757296,3305648994,0,GaussianSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.19858461494849053,74.7,14.952006578155551,15.089861156420515,0.04888297725053979,0.16578538921712577,0.05521792824157047,0.025530287282665865,0.07633177430434455,0.03182036867953542,0.039306643030042276,0.16116107257667323,0.04828424137308863,0.15550952726390765,0.13344811181735577,5.993254755152027,5.993254755152027,0.0,7.918129190319018e-17,2.779024842816778e-16,0.39999125017885406,0.39999125017885406,0.0,74.39999999999999,0.2999999999999998,0.0,0.0,0.0,73.89999999999999,0.7999999999999989,0.0,0.0,0.0,False,False,False
33,2257902095,2132756255,0,GaussianSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.19199954379166773,86.10000000000001,15.760976898607218,15.78337546802301,0.05272743089093878,0.135326799662674,0.05871819026810287,0.029956352216895552,0.10259765024786267,0.03789176900531175,0.043974528640659365,0.15322239149340192,0.053605430438662865,0.039034697715825815,0.013648542745081649,6.432027668350239,6.432027668350238,0.0,7.148504230310887e-17,2.498965354837e-16,0.2844444446651256,0.2844444446651256,0.0,76.0,10.099999999999998,0.0,0.0,0.0,76.40000000000002,9.699999999999989,0.0,0.0,0.0,False,False,False
34,1990091749,1553859126,0,GaussianSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.2495972523916869,82.60000000000001,15.845541104089637,15.947631262712578,0.053318974197176065,0.16236886959182292,0.059674960934259044,0.03247018836433267,0.1071222070720931,0.04044030349628173,0.045047651223927794,0.2098625209663009,0.05692422426691823,0.1857476157355936,0.12672463581016924,6.295932720558032,6.2959327205580315,0.0,7.01997281638814e-17,2.7755575615628914e-16,0.4375563961570058,0.4375563961570058,0.0,74.6,8.000000000000007,0.0,0.0,0.0,74.0,8.600000000000005,0.0,0.0,0.0,False,False,False
35,688663972,1741335336,0,GaussianSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.19192849827013814,71.60000000000001,14.26000915943587,14.435076495230742,0.05199511435709511,0.26578198388078017,0.05915557702538919,0.029048514174115015,0.06962666249064542,0.03348039166945009,0.041996986341180875,0.26578198388078017,0.05381329128386759,0.10092801331209247,0.0121351871087918,5.539203152028881,5.539203152028881,0.0,7.796208189949628e-17,2.8066088919804617e-16,0.3356121020064417,0.3356121020064417,0.0,69.7,1.8999999999999986,0.0,0.0,0.0,70.1,1.5000000000000036,0.0,0.0,0.0,False,False,False
36,248667807,2779221576,0,GaussianSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.1844522697979969,68.10000000000001,13.288025229210753,13.403006218872493,0.05244467617787731,0.16166309256831057,0.059415678067985166,0.032716811063345744,0.09047590178157441,0.03973685168234627,0.04330034172040574,0.18942337281180693,0.05424131103377889,0.09851534484179471,0.04706409721662852,5.140880124708634,5.140880124708634,0.0,8.215123551657194e-17,1.962615573354719e-16,0.2706258850978106,0.2706258850978106,0.0,67.4,0.6999999999999993,0.0,0.0,0.0,67.2,0.8999999999999986,0.0,0.0,0.0,False,False,False
37,3831690327,406686172,0,GaussianSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.22838794294817175,82.0,16.337894645768245,16.446071623502114,0.05404445056453669,0.2601483775472804,0.06092318664389021,0.03266310612960667,0.11192092116538227,0.041619496010147944,0.04566453590784287,0.25960680233532657,0.057493056695051774,0.07052463390344907,0.05139250596309138,6.580706223873541,6.580706223873542,0.0,7.925134692833564e-17,2.779024842816778e-16,0.3352848518675517,0.33528485186755164,0.0,82.0,0.0,0.0,0.0,0.0,81.89999999999999,0.09999999999999964,0.0,0.0,0.0,False,False,False
